id,name,host_id,host_name,latitude,longitude,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,bedroom_count,bathroom_count,bed_count,district_Central & Western,district_Eastern,district_Islands,district_Kowloon City,district_Kwai Tsing,district_Kwun Tong,district_North,district_Sai Kung,district_Sha Tin,district_Sham Shui Po,district_Southern,district_Tai Po,district_Tsuen Wan,district_Tuen Mun,district_Wan Chai,district_Wong Tai Sin,district_Yau Tsim Mong,district_Yuen Long
847433164730160083,Rental unit in Hong Kong,49668796,Chun Sum,22.26912750283912,114.18381450125666,100.36,1,16,2,342,16,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
847442543386620514,Rental unit in Hong Kong,97240131,Jov,22.31304,114.17233,18.2,30,0,359,91,0,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
847450193832586053,Rental unit in Hong Kong,97240131,Jov,22.313033999342863,114.17142409397302,23.400000000000002,30,0,359,365,0,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
847500204516382634,Rental unit in Hong Kong,51197932,Sam,22.29662012422901,114.17225978191556,42.9,2,41,15,142,41,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
847542988874528302,Rental unit in Hong Kong,51197932,Sam,22.298531768407056,114.17141372441692,47.84,2,52,15,123,52,0,0,1,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
847744785750075165,Rental unit in Hong Kong,83828357,Jennifer,22.27893316413418,114.18115897025332,40.95,28,4,4,115,4,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
848051065878263412,Rental unit in Hong Kong,97240131,Jov,22.314439957599177,114.17063069042538,23.400000000000002,30,0,359,365,0,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
848055620697827235,Rental unit in Hong Kong,97240131,Jov,22.31448577024373,114.16964217253944,28.6,30,0,359,365,0,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
848111792363361079,Rental unit in Hong Kong,97240131,Jov,22.314201461326707,114.17101506519172,15.600000000000001,30,0,359,365,0,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
848466163986760837,Cottage in Hong Kong,64902979,Peralta,22.269817302925794,113.9894687301884,127.27000000000001,1,3,7,146,3,1,0,0,0,2,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
848468646549677519,Rental unit in Hong Kong,32952722,Jenkins,22.28556,114.21261,52.0,28,0,6,365,0,0,0,1,0,1,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
849025321418535769,Rental unit in Hong Kong,51197932,Sam,22.297579572363265,114.1720062866807,50.050000000000004,2,46,15,130,46,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
849042822814605530,Rental unit in Hong Kong,51197932,Sam,22.29649046684529,114.17099750690936,42.38,2,9,15,143,9,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
849054326189985725,Home in Hong Kong,23723176,Hk,22.432466778636467,114.1645601262559,79.17,28,0,2,0,0,1,0,0,0,3,1.0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
849455725002607379,Rental unit in Hong Kong,47626760,Yuk Yuk,22.317530549570247,114.16737270454492,30.68,7,6,2,44,6,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
849725821129232677,Rental unit in Hong Kong,493088457,Comfy Nomad,22.285437,114.1478309,54.99,28,0,60,0,0,0,0,1,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
849850267992236701,Guesthouse in Hong Kong,260984194,花,22.297806953253268,114.17205423116684,92.69,1,5,6,365,5,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
849852688514784548,kezhan in Hong Kong,500249738,Starfish,22.29859301203305,114.1723757609725,63.96,1,13,9,168,13,0,0,1,0,1,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
849964201870868128,Farm stay in Hong Kong,505886234,Chan,22.413432637770622,113.98459264417188,13.0,31,0,1,89,0,0,0,0,1,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
850465183285257828,Rental unit in Hong Kong,126178425,Yat,22.3206676058798,114.19021338073634,137.67000000000002,1,13,3,68,13,1,0,0,0,2,1.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850615931887407978,Farm stay in Hong Kong,14340229,Jocelyn,22.49349,114.12256,45.5,5,3,4,0,3,0,0,1,0,2,1.0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
850885304984437921,Rental unit in Hong Kong,20968652,Ivy,22.278156802646105,114.18554839846873,156.0,2,23,4,133,23,1,0,0,0,2,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
850921638584039513,Rental unit in Hong Kong,444581781,Candice,22.3211936,114.2074176,104.0,1,3,1,361,3,1,0,0,0,1,1.5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
851027433091255667,Rental unit in Hong Kong,276141713,ArtRoom,22.308231627141083,114.16507872501376,44.07,1,13,22,342,13,0,0,0,1,1,5.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
851140117542537571,Rental unit in Hong Kong,269051930,Mm,22.297931103308795,114.17437020625808,101.79,1,1,18,89,1,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
851682847033958157,Rental unit in Hong Kong,30703691,Sophia,22.2827036,114.1492996,141.70000000000002,3,2,1,279,2,1,0,0,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851943947712642258,Condo in Hong Kong,440134849,Diane,22.322047735789877,114.16049291002668,64.09,28,2,27,357,2,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
851962635472304374,Bed and breakfast in Hong Kong,59318516,Elaine,22.29601587719208,114.27074812352656,78.0,2,7,1,80,7,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
852017393920480330,Rental unit in Hong Kong,51197932,Sam,22.298437161362,114.17305872029044,117.65,2,43,15,127,43,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
852027779904406310,Rental unit in Hong Kong,51197932,Sam,22.296960690564877,114.1708990723372,60.71,2,24,15,158,24,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
852157940580276145,Guesthouse in Hong Kong,506438254,Amninder,22.2965004,114.172269,77.48,1,0,2,0,0,0,0,1,0,1,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
852177059313520506,Guesthouse in Hong Kong,506438254,Amninder,22.2965004,114.172269,80.08,1,0,2,0,0,0,0,1,0,1,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
852514734235495518,Rental unit in Hong Kong,20535130,Ken,22.2822299,114.1854383,49.27,28,2,5,25,2,1,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
852573477124917460,Rental unit in Hong Kong,97240131,Jov,22.30122034207057,114.18620310182725,32.5,30,0,359,365,0,0,0,1,0,3,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852644306694506382,Rental unit in Hong Kong,97240131,Jov,22.301225765937254,114.18610774445337,31.85,30,0,359,365,0,0,0,1,0,3,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852656088372721798,kezhan in Hong Kong,500249738,Starfish,22.29859301203305,114.1723757609725,62.400000000000006,1,14,9,172,14,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
852669505099823616,Rental unit in Hong Kong,447375511,Blueground,22.2745991,114.1739521,130.52,30,0,54,140,0,1,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
852669745822214950,Rental unit in Hong Kong,447375511,Blueground,22.2876212,114.1390067,123.63000000000001,30,1,54,230,1,1,0,0,0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
853208441519429723,Rental unit in Hong Kong,28426358,Sophia,22.3037117391567,114.25206015182025,69.68,1,5,1,0,5,0,0,1,0,1,1.5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
853331333422096208,Condo in Hong Kong,440134849,Diane,22.320103071865177,114.16043536261692,53.690000000000005,28,2,27,312,2,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
853387539352576292,Rental unit in Hong Kong,7842633,Chu,22.41503054551273,113.98257365551116,51.870000000000005,90,0,5,89,0,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
853404346568114199,Rental unit in Hong Kong,447375511,Blueground,22.28518,114.141919,132.73000000000002,30,1,54,357,1,1,0,0,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
853623135903822417,Boutique hotel in Hong Kong,506745972,Fiona,22.298416625984498,114.17115568207431,160.29,1,76,6,356,76,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
853972852065873068,Tiny home in Hong Kong,33044102,Ws,22.37324779316453,113.9900409369164,110.5,1,1,1,363,1,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
854259454022086786,Rental unit in Hong Kong,276141713,ArtRoom,22.308075214086763,114.16681343233697,44.07,1,16,22,0,16,0,0,0,1,1,5.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
854265355582339892,Rental unit in Hong Kong,506866922,Mariyah,22.28761369234575,114.1923748929096,19.63,30,1,1,332,1,0,0,1,0,1,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854558727218912273,Rental unit in Hong Kong,161281621,Catherine,22.28761,114.14632,224.77,1,5,1,253,5,1,0,0,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854693678728803851,Rental unit in Hong Kong,24575135,Hau Kuen,22.318768185372956,114.16948258590564,60.32,1,0,12,365,0,0,0,1,0,1,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
855425458036066081,Rental unit in Hong Kong,506021115,Jonna Norea,22.27508124307609,114.17158880180337,156.0,2,5,1,7,5,1,0,0,0,1,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
855441607915784974,Rental unit in Hong Kong,353326613,Savi,22.2812317,114.1853538,58.5,28,1,50,364,1,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
855443328858776544,Rental unit in Hong Kong,507089324,健輝,22.2817256,114.1834419,50.31,1,2,9,365,2,0,0,0,1,1,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
855443789563206400,Rental unit in Hong Kong,507089324,健輝,22.2817256,114.1834419,181.09,1,2,9,363,2,0,0,0,1,1,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
855452096467181459,Rental unit in Hong Kong,353326613,Savi,22.2812317,114.1853538,48.1,28,1,50,171,1,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
855458474560414150,Hotel in Hong Kong,507089324,健輝,22.281659,114.1833676,50.7,1,20,9,181,20,0,0,0,1,1,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
855676320394964761,Rental unit in Hong Kong,1654196,Hi,22.2796662,114.1805515,61.1,1,2,95,327,2,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
855691354543104234,Rental unit in Hong Kong,1654196,Hi,22.2796662,114.1805515,68.77,1,0,95,301,0,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
855705177802796539,Rental unit in Hong Kong,1654196,Hi,22.2796274,114.1807668,43.29,1,1,95,60,1,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
855713373920049175,Rental unit in Hong Kong,1654196,Hi,22.2796274,114.1807668,39.13,1,4,95,92,4,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
856043072297814638,Rental unit in Hong Kong,498695672,Morgen,22.2871970709048,114.19659630008503,20.8,30,0,103,365,0,0,0,1,0,1,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
856405744290555368,Condo in Hong Kong,440134849,Diane,22.321969156828423,114.16198300845905,88.4,28,1,27,365,1,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
856777264331932342,Rental unit in Hong Kong,211480979,Sophie,22.276973844273023,114.17246639892352,49.4,29,25,1,50,25,1,0,0,0,2,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
856822393956534291,Rental unit in Hong Kong,27687744,Federico,22.282321250813357,114.15323719382286,163.41,3,22,1,25,22,1,0,0,0,1,1.5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
856976350083614259,Condo in Hong Kong,440134849,Diane,22.31992855067018,114.16235332848224,49.4,28,1,27,364,1,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
857003184696144202,kezhan in Hong Kong,500249738,Starfish,22.29859301203305,114.1723757609725,60.97,1,17,9,175,17,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
857076128520508823,Condo in Hong Kong,440134849,Diane,22.32316,114.1604,58.370000000000005,28,1,27,364,1,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
857079229248610985,Condo in Hong Kong,440134849,Diane,22.28445148690071,114.15996369082956,78.0,28,2,27,365,2,1,0,0,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
857080521366791291,Condo in Hong Kong,440134849,Diane,22.28439329067082,114.15833180389822,65.0,28,1,27,312,1,1,0,0,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
857086569661352975,Rental unit in Hong Kong,447375511,Blueground,22.2802564,114.1506678,163.15,30,1,54,333,1,1,0,0,0,2,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
857513117157155552,Rental unit in Hong Kong,28722261,Christy,22.371199180221733,114.18228626759144,91.0,3,1,3,39,1,1,0,0,0,2,1.0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
857805309132795631,Rental unit in Hong Kong,447375511,Blueground,22.2859532,114.1462306,139.23000000000002,30,0,54,184,0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
857890483317346022,Rental unit in Hong Kong,1654196,Hi,22.27658843175816,114.17129958147588,39.13,1,3,95,63,3,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
858408895089376523,Rental unit in Hong Kong,353326613,Savi,22.281645971053845,114.18397265924388,42.9,28,0,50,171,0,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
858415312681306747,Rental unit in Hong Kong,493088457,Comfy Nomad,22.2772881,114.1844541,52.65,28,0,60,365,0,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
858439035007868572,Rental unit in Hong Kong,507740602,Le,22.280491972434117,114.17772755571264,94.64,5,9,3,71,9,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
858443754488257520,Home in Hong Kong,16205078,Mei,22.282306446594813,114.15273329164468,154.05,1,21,1,233,21,1,0,0,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
858450481278436531,Rental unit in Hong Kong,353326613,Savi,22.28230128598665,114.18474363029918,45.5,28,0,50,171,0,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
858491627508225673,Rental unit in Hong Kong,353326613,Savi,22.282152762210256,114.18484701186686,49.4,28,0,50,171,0,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
858590791586915213,Rental unit in Hong Kong,507740602,Le,22.27894115400596,114.17887533617098,94.64,5,12,3,0,12,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
858785715556468417,Rental unit in Hong Kong,507740602,Le,22.27938,114.17964,67.60000000000001,5,9,3,49,9,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
858964033184313911,Rental unit in Hong Kong,166183091,Pineapple,22.3046191,114.1721938,51.09,28,1,57,290,1,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
859207872887921954,Rental unit in Hong Kong,4584648,Ivy,22.28819,114.20909,29.900000000000002,30,0,398,365,0,0,0,1,0,1,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
859672169321563376,Rental unit in Hong Kong,507483990,LianM,22.3022371,114.1867006,19.5,30,0,6,365,0,0,0,0,1,1,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
859695343228957927,Rental unit in Hong Kong,507483990,LianM,22.4628997,113.99708,18.2,30,0,6,306,0,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
859742435748222512,minsu in Hong Kong,347503564,Ho Cheong,22.32249568231509,114.17123326625536,130.0,1,0,1,365,0,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
859953485753636182,Rental unit in Hong Kong,507089324,健輝,22.2817183,114.1834498,66.3,1,0,9,364,0,0,0,0,1,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
860510351124082199,Hotel in Hong Kong,506745972,Fiona,22.297,114.17124,84.5,1,3,6,88,3,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
860701811460367930,Rental unit in Hong Kong,493088457,Comfy Nomad,22.2775548,114.1764848,61.49,30,2,60,180,2,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
861099733482623373,Rental unit in Hong Kong,498695672,Morgen,22.288295767586515,114.21062442435726,28.21,30,0,103,365,0,0,0,1,0,1,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861130610435186114,Rental unit in Hong Kong,353326613,Savi,22.28212240334278,114.18411393009448,72.8,28,0,50,171,0,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
861143885580954977,Rental unit in Hong Kong,353326613,Savi,22.280394355366727,114.18592786850108,45.5,28,0,50,171,0,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
861369470094880611,Rental unit in Lamma Island,508329087,Raymond,22.20856286464497,114.14457297465184,88.4,2,2,1,91,2,0,0,1,0,1,1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861379953254318093,Rental unit in Hong Kong,28722261,Christy,22.435145504754217,114.23941887987851,100.75,2,16,3,130,16,1,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
861419270772369738,Rental unit in Hong Kong,110436499,Shashi,22.2936161057039,114.27295991648064,40.300000000000004,3,13,1,345,13,0,0,1,0,1,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
861431810032754835,Rental unit in Hong Kong,37385532,Hung Mui,22.3198502,114.1706419,63.31,2,9,5,0,9,0,0,1,0,1,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
861545464914079131,Rental unit in Hong Kong,168410,Edmond,22.2861584764425,114.14917532555673,133.77,7,31,2,0,31,1,0,0,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861873292976159727,Rental unit in Hong Kong,97078035,Lok Tung,22.293095209760093,114.27142624527858,37.44,2,19,4,58,19,0,0,1,0,1,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
